big_celestial_total_area,big_celestial_median_red,big_celestial_median_green,big_celestial_median_blue
0.0,-1,-1,-1
0.0,-1,-1,-1
0.0,-1,-1,-1
0.0,-1,-1,-1
0.0,-1,-1,-1
0.0,-1,-1,-1
0.0,-1,-1,-1
0.0,-1,-1,-1
0.0,-1,-1,-1
0.0,-1,-1,-1
0.0,-1,-1,-1
0.0,-1,-1,-1
0.0,-1,-1,-1
0.0,-1,-1,-1
0.0,-1,-1,-1
10357.0,112,93,86
18923.0,119,98,92
39358.5,125,102,92
48726.5,127,103,93
48850.5,127,103,93
49493.5,126,102,93
50180.0,127,103,93
51583.5,126,103,94
53296.5,127,103,94
55882.0,128,104,94
59244.5,129,104,94
64039.5,129,104,94
70707.5,124,103,94
80420.0,125,103,94
95215.5,125,103,95
113817.0,126,104,96
137626.5,126,104,96
169263.5,127,105,97
207540.0,127,105,97
253117.0,128,105,97
260141.0,134,108,98
166950.0,127,105,97
188389.5,128,106,97
206899.5,128,105,97
218986.5,128,106,98
219030.5,127,108,101
180655.0,121,99,92
152656.0,122,100,92
168520.0,123,101,94
190461.0,124,102,95
220726.0,124,102,96
226655.5,123,99,92
213973.5,114,93,86
241017.5,122,103,97
278943.0,121,102,96
316973.0,121,102,96
358387.5,121,102,96
385280.5,122,103,97
428373.0,122,103,96
458807.0,121,102,96
473918.5,121,102,96
474125.5,121,102,96
334474.0,114,98,92
