x_contour0,y_contour0,median_red_contour0,median_green_contour0,median_blue_contour0,area_contour0,total_area,total_contour_count,total_contour_useful_area,total_contour_useful_count
1311,221,67,67,95,1606.5,204896.0,1193,204700.5,1184
1691,590,82,48,38,1422.5,143323.5,775,143223.5,772
1495,28,102,69,70,1284.0,142278.0,1152,142150.0,1149
276,68,16,14,10,963.0,311959.5,2788,311104.5,2759
1849,27,149,96,78,1755.0,446758.0,3432,445565.5,3384
1136,583,6,6,3,946.0,469463.0,3460,468003.0,3408
1357,119,8,8,5,1000.0,436874.0,3395,435566.5,3346
240,139,8,4,3,1313.5,368313.0,3048,367426.0,3018
1336,751,13,11,10,1780.0,296052.0,2580,295279.5,2555
1703,399,21,14,12,991.5,229408.0,1975,229039.0,1965
1623,834,25,19,17,3525.5,170603.0,1369,170301.0,1360
978,537,78,64,60,1893.0,129174.5,930,128990.5,923
467,355,30,40,47,1095.0,89369.0,614,89239.5,611
81,958,39,27,21,901.5,71987.5,407,71987.5,407
122,253,66,86,98,2429.5,55791.5,235,55791.5,235
1653,542,134,113,90,1270.5,47251.0,134,47251.0,134
558,994,81,83,81,1710.0,49675.5,91,49675.5,91
1313,1048,138,115,95,1426.5,49800.5,72,49800.5,72
799,803,17,2,0,166.0,55535.0,88,55503.0,87
1188,702,90,60,50,142.0,55395.5,84,55395.5,84
1608,941,5,2,1,128.5,56384.0,88,56384.0,88
1243,303,1,1,10,119.5,57299.5,94,57251.5,93
800,808,11,0,0,177.0,58392.5,91,58348.5,89
810,376,74,52,42,136.0,59912.0,86,59912.0,86
1633,951,3,2,0,119.0,62375.0,86,62330.0,85
1252,294,1,1,6,129.5,65638.5,84,65638.5,84
799,833,19,1,0,187.0,70765.5,89,70765.5,89
986,296,83,67,55,138.5,77471.5,88,77471.5,88
1717,945,6,3,1,129.0,87189.0,88,87189.0,88
1205,644,49,36,35,139.0,102709.0,96,102625.0,94
807,900,27,3,0,203.0,121309.5,94,121309.5,94
808,203,77,48,37,141.0,145021.0,92,144937.0,90
1838,906,5,5,1,151.0,176549.5,90,176545.5,89
494,419,73,58,56,151.5,214464.0,84,91910.5,82
809,1000,38,3,0,243.0,260606.5,90,104314.5,88
1269,764,85,41,28,172.0,267700.0,94,153335.0,91
1195,251,45,34,35,173.0,174257.0,87,174255.0,86
402,9,93,46,24,373.5,196727.5,98,196708.0,96
828,890,51,35,12,160.5,213905.5,85,213905.5,85
1171,760,47,19,14,149.5,225435.5,80,225355.5,77
545,846,75,36,1,138.0,224815.0,70,224783.5,68
339,313,22,22,30,130.5,186057.5,66,186011.5,64
13,5,85,70,65,307.0,158540.0,64,51155.0,62
1117,813,95,54,49,251.5,173744.5,58,57469.5,57
636,837,58,38,13,194.0,195858.5,62,68044.0,61
363,823,83,42,3,149.0,226148.0,62,80651.0,60
1121,452,85,69,61,137.5,233095.0,82,59671.0,75
251,19,12,9,12,162.5,220425.5,75,16251.0,71
1106,1049,84,26,2,151.5,248291.0,88,7086.0,78
477,413,58,26,13,146.0,286253.5,87,7265.5,78
165,267,14,9,13,163.0,326172.0,102,9134.0,96
1496,385,67,51,40,160.5,367547.5,106,8922.0,88
56,813,5,9,29,152.5,395491.5,114,9952.0,96
1427,632,88,73,65,191.5,440181.0,137,11510.5,110
116,280,126,54,28,772.5,471463.0,143,12268.5,114
815,743,86,70,62,196.0,486199.5,141,12032.5,111
63,565,21,12,18,165.5,486850.0,141,12545.0,119
827,161,82,69,66,153.0,342868.0,101,8189.0,85
