x,y,time,colour,velocity
176.5,-1,0,"(0,0,255)",478
350.5,-1,0,"(0,0,255)",451
524.5,-1,0,"(0,0,255)",772
698.5,-1,0,"(0,0,255)",328
872.5,-1,0,"(0,0,255)",287
1046.5,-1,0,"(0,0,255)",752
1220.5,-1,0,"(0,0,255)",527
1394.5,-1,0,"(0,0,255)",1070
1568.5,-1,0,"(0,0,255)",615
1742.5,-1,0,"(0,0,255)",908
176.5,-1,1,"(0,0,255)",315
350.5,-1,1,"(0,0,255)",540
524.5,-1,1,"(0,0,255)",337
698.5,-1,1,"(0,0,255)",383
872.5,-1,1,"(255,0,0)",148
1046.5,-1,1,"(0,0,255)",344
1220.5,-1,1,"(0,0,255)",454
1394.5,-1,1,"(0,0,255)",623
1568.5,-1,1,"(0,0,255)",585
1742.5,-1,1,"(0,0,255)",514
176.5,-1,2,"(0,0,255)",688
350.5,-1,2,"(0,0,255)",453
524.5,-1,2,"(0,0,255)",299
698.5,-1,2,"(0,0,255)",486
872.5,-1,2,"(0,0,255)",339
1046.5,-1,2,"(0,0,255)",325
1220.5,-1,2,"(0,0,255)",414
1394.5,-1,2,"(0,0,255)",533
1568.5,-1,2,"(255,0,0)",173
1742.5,-1,2,"(0,0,255)",773
176.5,-1,3,"(0,0,255)",1178
350.5,-1,3,"(0,0,255)",1184
524.5,-1,3,"(0,0,255)",1181
698.5,-1,3,"(0,0,255)",991
872.5,-1,3,"(0,0,255)",1052
1046.5,-1,3,"(0,0,255)",1183
1220.5,-1,3,"(0,0,255)",1109
1394.5,-1,3,"(0,0,255)",1078
1568.5,-1,3,"(0,0,255)",1555
1742.5,-1,3,"(0,0,255)",449
176.5,-1,4,"(0,0,255)",1317
350.5,-1,4,"(0,0,255)",1156
524.5,-1,4,"(0,0,255)",1177
698.5,-1,4,"(0,0,255)",1088
872.5,-1,4,"(0,0,255)",1565
1046.5,-1,4,"(0,0,255)",1413
1220.5,-1,4,"(0,0,255)",1324
1394.5,-1,4,"(0,0,255)",1720
1568.5,-1,4,"(0,0,255)",1679
1742.5,-1,4,"(0,0,255)",1998
176.5,-1,5,"(0,0,255)",1603
350.5,-1,5,"(0,0,255)",1258
524.5,-1,5,"(0,0,255)",1258
698.5,-1,5,"(0,0,255)",1147
872.5,-1,5,"(0,0,255)",1803
1046.5,-1,5,"(0,0,255)",1248
1220.5,-1,5,"(0,0,255)",1251
1394.5,-1,5,"(0,0,255)",1407
1568.5,-1,5,"(0,0,255)",1453
1742.5,-1,5,"(0,0,255)",1751
176.5,-1,6,"(0,0,255)",1476
350.5,-1,6,"(0,0,255)",1074
524.5,-1,6,"(0,0,255)",1337
698.5,-1,6,"(0,0,255)",1041
872.5,-1,6,"(0,0,255)",1388
1046.5,-1,6,"(0,0,255)",1492
1220.5,-1,6,"(0,0,255)",1180
1394.5,-1,6,"(0,0,255)",1306
1568.5,-1,6,"(0,0,255)",1108
1742.5,-1,6,"(0,0,255)",1350
176.5,-1,7,"(0,0,255)",1140
350.5,-1,7,"(0,0,255)",1136
524.5,-1,7,"(0,0,255)",1075
698.5,-1,7,"(0,0,255)",1110
872.5,-1,7,"(0,0,255)",1330
1046.5,-1,7,"(0,0,255)",1201
1220.5,-1,7,"(0,0,255)",1215
1394.5,-1,7,"(0,0,255)",1182
1568.5,-1,7,"(0,0,255)",1162
1742.5,-1,7,"(0,0,255)",1403
176.5,-1,8,"(0,0,255)",928
350.5,-1,8,"(0,0,255)",947
524.5,-1,8,"(0,0,255)",798
698.5,-1,8,"(0,0,255)",880
872.5,-1,8,"(0,0,255)",610
1046.5,-1,8,"(0,0,255)",1139
1220.5,-1,8,"(0,0,255)",669
1394.5,-1,8,"(0,0,255)",1137
1568.5,-1,8,"(0,0,255)",973
1742.5,-1,8,"(0,0,255)",929
176.5,-1,9,"(0,0,255)",582
350.5,-1,9,"(0,0,255)",778
524.5,-1,9,"(0,0,255)",330
698.5,-1,9,"(0,0,255)",969
872.5,-1,9,"(0,0,255)",997
1046.5,-1,9,"(0,0,255)",734
1220.5,-1,9,"(0,0,255)",742
1394.5,-1,9,"(0,0,255)",731
1568.5,-1,9,"(0,0,255)",733
1742.5,-1,9,"(0,0,255)",905
176.5,-1,10,"(0,0,255)",332
350.5,-1,10,"(0,0,255)",539
524.5,-1,10,"(0,0,255)",479
698.5,-1,10,"(0,0,255)",397
872.5,-1,10,"(0,0,255)",514
1046.5,-1,10,"(0,0,255)",457
1220.5,-1,10,"(0,0,255)",549
1394.5,-1,10,"(0,0,255)",310
1568.5,-1,10,"(0,0,255)",489
1742.5,-1,10,"(0,0,255)",572
176.5,-1,11,"(0,0,255)",439
350.5,-1,11,"(0,0,255)",449
524.5,-1,11,"(0,0,255)",598
698.5,-1,11,"(0,0,255)",264
872.5,-1,11,"(255,0,0)",88
1046.5,-1,11,"(0,0,255)",537
1220.5,-1,11,"(0,0,255)",209
1394.5,-1,11,"(0,0,255)",265
1568.5,-1,11,"(255,0,0)",197
1742.5,-1,11,"(255,0,0)",186
176.5,-1,12,"(0,0,255)",284
350.5,-1,12,"(0,0,255)",363
524.5,-1,12,"(255,0,0)",160
698.5,-1,12,"(255,0,0)",180
872.5,-1,12,"(0,0,255)",503
1046.5,-1,12,"(255,0,0)",150
1220.5,-1,12,"(0,0,255)",236
1394.5,-1,12,"(255,0,0)",180
1568.5,-1,12,"(255,0,0)",175
1742.5,-1,12,"(0,0,255)",307
176.5,-1,13,"(0,0,255)",243
524.5,-1,13,"(0,0,255)",253
698.5,-1,13,"(0,0,255)",298
872.5,-1,13,"(0,0,255)",273
1046.5,-1,13,"(0,0,255)",286
1220.5,-1,13,"(0,0,255)",220
1394.5,-1,13,"(255,0,0)",96
1568.5,-1,13,"(0,0,255)",373
1742.5,-1,13,"(0,0,255)",212
350.5,-1,14,"(255,0,0)",85
524.5,-1,14,"(255,0,0)",150
698.5,-1,14,"(255,0,0)",50
872.5,-1,14,"(0,0,255)",219
1046.5,-1,14,"(255,0,0)",151
1220.5,-1,14,"(255,0,0)",106
1394.5,-1,14,"(255,0,0)",114
1568.5,-1,14,"(0,0,255)",313
1742.5,-1,14,"(0,0,255)",406
176.5,-1,15,"(255,0,0)",144
350.5,-1,15,"(255,0,0)",151
524.5,-1,15,"(255,0,0)",76
698.5,-1,15,"(255,0,0)",163
872.5,-1,15,"(0,0,255)",352
1046.5,-1,15,"(0,0,255)",734
1220.5,-1,15,"(255,0,0)",108
1394.5,-1,15,"(255,0,0)",182
1742.5,-1,15,"(255,0,0)",57
176.5,-1,16,"(255,0,0)",135
350.5,-1,16,"(255,0,0)",67
524.5,-1,16,"(255,0,0)",77
698.5,-1,16,"(255,0,0)",184
872.5,-1,16,"(255,0,0)",105
1046.5,-1,16,"(0,0,255)",572
1220.5,-1,16,"(255,0,0)",160
1568.5,-1,16,"(255,0,0)",185
1742.5,-1,16,"(255,0,0)",108
350.5,-1,17,"(255,0,0)",178
872.5,-1,17,"(255,0,0)",54
1046.5,-1,17,"(0,0,255)",696
1220.5,-1,17,"(255,0,0)",39
1568.5,-1,17,"(255,0,0)",45
176.5,-1,18,"(255,0,0)",39
524.5,-1,18,"(255,0,0)",45
698.5,-1,18,"(0,0,255)",205
872.5,-1,18,"(255,0,0)",99
1046.5,-1,18,"(0,0,255)",793
176.5,-1,19,"(255,0,0)",30
524.5,-1,19,"(255,0,0)",50
698.5,-1,19,"(0,0,255)",208
872.5,-1,19,"(255,0,0)",98
1046.5,-1,19,"(0,0,255)",798
524.5,-1,20,"(255,0,0)",40
698.5,-1,20,"(0,0,255)",210
872.5,-1,20,"(255,0,0)",99
1046.5,-1,20,"(0,0,255)",808
698.5,-1,21,"(0,0,255)",225
872.5,-1,21,"(255,0,0)",99
1046.5,-1,21,"(0,0,255)",809
698.5,-1,22,"(0,0,255)",248
872.5,-1,22,"(255,0,0)",97
1046.5,-1,22,"(0,0,255)",834
176.5,-1,23,"(255,0,0)",45
698.5,-1,23,"(0,0,255)",277
872.5,-1,23,"(255,0,0)",76
1046.5,-1,23,"(0,0,255)",852
1220.5,-1,23,"(255,0,0)",45
1394.5,-1,23,"(255,0,0)",45
1568.5,-1,23,"(255,0,0)",45
176.5,-1,24,"(255,0,0)",54
350.5,-1,24,"(255,0,0)",54
698.5,-1,24,"(0,0,255)",303
872.5,-1,24,"(255,0,0)",55
1046.5,-1,24,"(0,0,255)",889
1220.5,-1,24,"(255,0,0)",85
1568.5,-1,24,"(255,0,0)",55
176.5,-1,25,"(255,0,0)",60
350.5,-1,25,"(255,0,0)",50
698.5,-1,25,"(0,0,255)",309
872.5,-1,25,"(255,0,0)",65
1046.5,-1,25,"(0,0,255)",921
1220.5,-1,25,"(0,0,255)",417
1568.5,-1,25,"(255,0,0)",42
176.5,-1,26,"(255,0,0)",36
350.5,-1,26,"(255,0,0)",100
698.5,-1,26,"(0,0,255)",388
872.5,-1,26,"(255,0,0)",82
1046.5,-1,26,"(0,0,255)",995
1220.5,-1,26,"(0,0,255)",1259
176.5,-1,27,"(255,0,0)",41
350.5,-1,27,"(255,0,0)",45
698.5,-1,27,"(0,0,255)",436
872.5,-1,27,"(255,0,0)",96
1046.5,-1,27,"(0,0,255)",1060
1220.5,-1,27,"(0,0,255)",1831
698.5,-1,28,"(0,0,255)",524
1046.5,-1,28,"(0,0,255)",1068
1220.5,-1,28,"(0,0,255)",1606
1568.5,-1,28,"(255,0,0)",50
176.5,-1,29,"(255,0,0)",40
698.5,-1,29,"(0,0,255)",527
1046.5,-1,29,"(0,0,255)",1117
1220.5,-1,29,"(0,0,255)",776
350.5,-1,30,"(255,0,0)",85
698.5,-1,30,"(0,0,255)",513
872.5,-1,30,"(255,0,0)",48
1046.5,-1,30,"(0,0,255)",1142
1220.5,-1,30,"(255,0,0)",131
1394.5,-1,30,"(0,0,255)",1447
524.5,-1,31,"(0,0,255)",204
698.5,-1,31,"(0,0,255)",428
872.5,-1,31,"(255,0,0)",112
1046.5,-1,31,"(0,0,255)",1230
1220.5,-1,31,"(0,0,255)",209
1394.5,-1,31,"(0,0,255)",2692
1742.5,-1,31,"(255,0,0)",39
176.5,-1,32,"(255,0,0)",50
524.5,-1,32,"(0,0,255)",559
698.5,-1,32,"(0,0,255)",449
1046.5,-1,32,"(0,0,255)",1256
1220.5,-1,32,"(0,0,255)",257
1394.5,-1,32,"(0,0,255)",787
1568.5,-1,32,"(0,0,255)",596
524.5,-1,33,"(0,0,255)",699
698.5,-1,33,"(0,0,255)",308
872.5,-1,33,"(255,0,0)",50
1046.5,-1,33,"(0,0,255)",1214
1220.5,-1,33,"(0,0,255)",392
1394.5,-1,33,"(0,0,255)",766
1568.5,-1,33,"(0,0,255)",3602
524.5,-1,34,"(0,0,255)",790
698.5,-1,34,"(255,0,0)",96
1046.5,-1,34,"(0,0,255)",1088
1220.5,-1,34,"(0,0,255)",446
1394.5,-1,34,"(255,0,0)",33
1568.5,-1,34,"(0,0,255)",823
1742.5,-1,34,"(0,0,255)",4794
176.5,-1,35,"(255,0,0)",74
524.5,-1,35,"(0,0,255)",862
872.5,-1,35,"(255,0,0)",104
1046.5,-1,35,"(0,0,255)",1133
1220.5,-1,35,"(0,0,255)",467
1568.5,-1,35,"(0,0,255)",1016
1742.5,-1,35,"(255,0,0)",55
350.5,-1,36,"(0,0,255)",391
524.5,-1,36,"(0,0,255)",905
872.5,-1,36,"(255,0,0)",136
1046.5,-1,36,"(0,0,255)",1190
1220.5,-1,36,"(0,0,255)",517
1394.5,-1,36,"(255,0,0)",58
1568.5,-1,36,"(0,0,255)",934
1742.5,-1,36,"(0,0,255)",752
350.5,-1,37,"(0,0,255)",829
524.5,-1,37,"(0,0,255)",935
698.5,-1,37,"(255,0,0)",77
1046.5,-1,37,"(0,0,255)",1247
1220.5,-1,37,"(0,0,255)",566
1394.5,-1,37,"(0,0,255)",271
1568.5,-1,37,"(255,0,0)",65
1742.5,-1,37,"(0,0,255)",1179
350.5,-1,38,"(0,0,255)",1120
524.5,-1,38,"(0,0,255)",850
698.5,-1,38,"(255,0,0)",56
872.5,-1,38,"(255,0,0)",39
1046.5,-1,38,"(0,0,255)",1311
1220.5,-1,38,"(0,0,255)",562
1394.5,-1,38,"(0,0,255)",324
1568.5,-1,38,"(255,0,0)",32
1742.5,-1,38,"(0,0,255)",955
176.5,-1,39,"(0,0,255)",587
350.5,-1,39,"(0,0,255)",1190
524.5,-1,39,"(0,0,255)",849
1046.5,-1,39,"(0,0,255)",1396
1220.5,-1,39,"(0,0,255)",606
1394.5,-1,39,"(0,0,255)",344
1568.5,-1,39,"(255,0,0)",76
1742.5,-1,39,"(0,0,255)",675
176.5,-1,40,"(0,0,255)",1159
350.5,-1,40,"(0,0,255)",900
524.5,-1,40,"(0,0,255)",264
872.5,-1,40,"(0,0,255)",405
1046.5,-1,40,"(0,0,255)",1558
1220.5,-1,40,"(0,0,255)",752
1394.5,-1,40,"(0,0,255)",375
1568.5,-1,40,"(255,0,0)",110
1742.5,-1,40,"(0,0,255)",389
176.5,-1,41,"(0,0,255)",611
350.5,-1,41,"(255,0,0)",179
698.5,-1,41,"(255,0,0)",55
872.5,-1,41,"(0,0,255)",739
1046.5,-1,41,"(0,0,255)",1717
1220.5,-1,41,"(0,0,255)",849
1394.5,-1,41,"(0,0,255)",403
1568.5,-1,41,"(255,0,0)",58
524.5,-1,42,"(255,0,0)",45
698.5,-1,42,"(255,0,0)",60
872.5,-1,42,"(0,0,255)",1102
1046.5,-1,42,"(0,0,255)",2072
1220.5,-1,42,"(0,0,255)",1032
1394.5,-1,42,"(0,0,255)",449
1568.5,-1,42,"(255,0,0)",91
1742.5,-1,42,"(255,0,0)",50
872.5,-1,43,"(0,0,255)",1190
1046.5,-1,43,"(0,0,255)",2212
1220.5,-1,43,"(0,0,255)",1368
1394.5,-1,43,"(0,0,255)",490
1568.5,-1,43,"(255,0,0)",59
872.5,-1,44,"(0,0,255)",1260
1046.5,-1,44,"(0,0,255)",2324
1220.5,-1,44,"(0,0,255)",1765
1394.5,-1,44,"(0,0,255)",612
1568.5,-1,44,"(255,0,0)",60
698.5,-1,45,"(255,0,0)",50
872.5,-1,45,"(0,0,255)",1325
1046.5,-1,45,"(0,0,255)",2484
1220.5,-1,45,"(0,0,255)",2086
1394.5,-1,45,"(0,0,255)",706
1568.5,-1,45,"(0,0,255)",532
350.5,-1,46,"(255,0,0)",55
698.5,-1,46,"(255,0,0)",45
872.5,-1,46,"(0,0,255)",1567
1046.5,-1,46,"(0,0,255)",2165
1220.5,-1,46,"(0,0,255)",1983
1394.5,-1,46,"(0,0,255)",593
1568.5,-1,46,"(0,0,255)",617
1742.5,-1,46,"(255,0,0)",36
176.5,-1,47,"(255,0,0)",65
698.5,-1,47,"(255,0,0)",59
872.5,-1,47,"(0,0,255)",1835
1046.5,-1,47,"(0,0,255)",2422
1220.5,-1,47,"(0,0,255)",1790
1568.5,-1,47,"(255,0,0)",179
1742.5,-1,47,"(255,0,0)",155
176.5,-1,48,"(255,0,0)",33
698.5,-1,48,"(255,0,0)",45
872.5,-1,48,"(0,0,255)",2137
1046.5,-1,48,"(0,0,255)",2547
1220.5,-1,48,"(0,0,255)",2070
