whitecount_line0,start_line0,end_line0,median_red_contours_touching_line0,median_green_contours_touching_line0,median_blue_contours_touching_line0,whitecount_line1,start_line1,end_line1,median_red_contours_touching_line1,median_green_contours_touching_line1,median_blue_contours_touching_line1,whitecount_line2,start_line2,end_line2,median_red_contours_touching_line2,median_green_contours_touching_line2,median_blue_contours_touching_line2,whitecount_line3,start_line3,end_line3,median_red_contours_touching_line3,median_green_contours_touching_line3,median_blue_contours_touching_line3,whitecount_line4,start_line4,end_line4,median_red_contours_touching_line4,median_green_contours_touching_line4,median_blue_contours_touching_line4,whitecount_line5,start_line5,end_line5,median_red_contours_touching_line5,median_green_contours_touching_line5,median_blue_contours_touching_line5,whitecount_line6,start_line6,end_line6,median_red_contours_touching_line6,median_green_contours_touching_line6,median_blue_contours_touching_line6,whitecount_line7,start_line7,end_line7,median_red_contours_touching_line7,median_green_contours_touching_line7,median_blue_contours_touching_line7,whitecount_line8,start_line8,end_line8,median_red_contours_touching_line8,median_green_contours_touching_line8,median_blue_contours_touching_line8,whitecount_line9,start_line9,end_line9,median_red_contours_touching_line9,median_green_contours_touching_line9,median_blue_contours_touching_line9
478,174,179,18,13,20,451,348,353,17,14,16,772,522,527,14,12,18,328,696,701,20,16,19,287,870,875,14,13,19,752,1044,1049,26,15,16,527,1218,1223,23,19,21,1070,1392,1397,26,20,22,615,1566,1571,20,18,19,908,1740,1745,20,18,16
315,174,179,24,16,18,540,348,353,24,17,22,337,522,527,29,17,19,383,696,701,24,21,26,148,870,875,22,19,22,344,1044,1049,44,28,21,454,1218,1223,27,19,16,623,1392,1397,71,47,37,585,1566,1571,31,21,21,514,1740,1745,37,27,27
688,174,179,11,12,12,453,348,353,8,9,12,299,522,527,20,20,19,486,696,701,10,10,10,339,870,875,13,13,14,325,1044,1049,14,14,16,414,1218,1223,27,23,24,533,1392,1397,21,22,25,173,1566,1571,27,23,40,773,1740,1745,46,29,39
1178,174,179,7,8,5,1184,348,353,6,6,4,1181,522,527,7,8,5,991,696,701,7,8,5,1052,870,875,6,8,5,1183,1044,1049,7,8,5,1109,1218,1223,8,8,5,1078,1392,1397,8,8,6,1555,1566,1571,8,8,6,449,1740,1745,40,31,32
1317,174,179,6,6,3,1156,348,353,6,8,3,1177,522,527,8,8,4,1088,696,701,6,6,3,1565,870,875,6,8,5,1413,1044,1049,6,8,3,1324,1218,1223,6,8,3,1720,1392,1397,7,8,5,1679,1566,1571,8,8,5,1998,1740,1745,6,8,4
1603,174,179,8,8,5,1258,348,353,6,8,4,1258,522,527,6,8,5,1147,696,701,6,6,3,1803,870,875,6,8,5,1248,1044,1049,8,8,4,1251,1218,1223,6,6,3,1407,1392,1397,6,8,5,1453,1566,1571,8,8,4,1751,1740,1745,7,8,4
1476,174,179,9,8,5,1074,348,353,9,8,5,1337,522,527,9,8,5,1041,696,701,8,8,5,1388,870,875,9,8,6,1492,1044,1049,9,8,5,1180,1218,1223,9,8,5,1306,1392,1397,8,8,5,1108,1566,1571,9,8,5,1350,1740,1745,9,8,5
1140,174,179,7,4,3,1136,348,353,8,4,2,1075,522,527,8,4,2,1110,696,701,8,4,2,1330,870,875,7,4,2,1201,1044,1049,8,4,2,1215,1218,1223,7,4,2,1182,1392,1397,8,4,2,1162,1566,1571,8,4,2,1403,1740,1745,9,4,3
928,174,179,5,1,0,947,348,353,4,2,0,798,522,527,4,2,0,880,696,701,6,1,0,610,870,875,5,1,0,1139,1044,1049,5,1,0,669,1218,1223,5,1,0,1137,1392,1397,5,1,0,973,1566,1571,5,1,0,929,1740,1745,4,1,0
582,174,179,4,1,0,778,348,353,5,2,0,330,522,527,5,1,0,969,696,701,5,1,0,997,870,875,4,1,0,734,1044,1049,4,1,0,742,1218,1223,5,1,0,731,1392,1397,5,1,0,733,1566,1571,4,1,0,905,1740,1745,4,1,0
332,174,179,5,1,0,539,348,353,4,1,0,479,522,527,5,1,0,397,696,701,5,1,0,514,870,875,5,1,0,457,1044,1049,4,1,0,549,1218,1223,6,1,0,310,1392,1397,3,1,0,489,1566,1571,5,1,0,572,1740,1745,3,1,0
439,174,179,5,1,0,449,348,353,5,2,0,598,522,527,5,2,0,264,696,701,7,2,1,88,870,875,5,1,1,537,1044,1049,6,2,0,209,1218,1223,6,1,0,265,1392,1397,7,2,0,197,1566,1571,7,3,0,186,1740,1745,5,2,0
