big_celestial_total_area,big_celestial_median_red,big_celestial_median_green,big_celestial_median_blue
68326.0,132,80,120
69230.5,132,81,120
71207.5,133,81,121
74880.5,133,81,121
79727.5,133,81,120
86443.0,133,81,121
94260.0,133,81,120
103282.0,133,81,121
113881.5,133,82,121
126666.5,135,82,122
141120.0,133,82,121
156018.5,134,82,122
171904.5,134,83,122
190469.0,135,83,122
210364.5,134,83,122
232062.0,135,84,123
254392.5,134,83,122
277898.0,135,83,122
301007.0,135,83,122
326216.0,135,83,122
352807.0,135,83,121
381704.0,135,83,122
411259.5,135,83,122
441052.5,136,83,122
469142.0,135,83,122
495769.0,135,83,122
516925.0,134,83,122
534437.0,134,82,122
545700.5,133,82,121
553395.5,133,82,121
