x_contour0,y_contour0,median_red_contour0,median_green_contour0,median_blue_contour0,area_contour0,total_area,total_contour_count,total_contour_useful_area,total_contour_useful_count
1897,853,79,81,126,1906.0,82039.5,1320,80874.0,375
1698,382,62,78,126,757.0,81943.0,1290,80911.5,401
246,695,49,64,111,501.0,83452.5,1232,82446.0,400
1505,911,83,55,50,461.0,87159.0,1171,86213.5,399
1624,190,106,39,20,473.5,93247.0,1086,92351.0,402
86,193,83,52,45,355.5,100740.0,972,99915.5,376
1863,347,63,79,126,1156.0,111750.0,863,111040.5,365
38,741,51,64,112,903.0,117641.0,748,12327.0,319
1108,304,46,56,105,2089.5,127608.0,661,11488.0,308
1161,96,44,54,101,818.0,142846.5,575,14144.0,273
1297,777,74,56,41,754.5,163328.0,499,19978.5,245
617,610,75,60,43,1418.5,170749.0,439,12521.0,205
450,155,77,60,44,13138.5,194066.0,401,19540.0,186
1460,402,70,57,46,523.0,200051.5,379,6942.5,170
1906,205,134,42,5,678.0,220868.5,342,7644.5,160
1270,725,97,77,65,187.5,240996.5,312,6017.0,143
1148,253,86,54,48,3408.5,265947.5,308,8194.0,143
6,690,80,50,51,203.5,287287.5,291,5881.0,123
544,1070,90,53,43,206.0,308170.0,296,3443.5,122
1781,169,127,34,3,777.5,333475.5,275,3389.5,126
1064,983,96,65,61,174.0,359698.0,263,2989.0,123
323,461,112,37,13,212.0,388638.5,234,2795.5,106
1721,656,92,58,50,127.0,418271.0,239,2859.0,107
505,1039,89,54,45,242.5,447668.0,232,2084.5,109
762,1061,74,55,62,81.0,476046.0,233,2082.5,103
1197,967,71,52,59,71.5,503176.0,208,2110.5,95
243,411,117,37,13,250.5,525176.0,240,2332.0,116
306,1018,78,52,58,68.0,542838.5,274,2314.0,126
557,968,90,56,48,235.5,555024.0,243,2307.0,114
824,994,77,55,63,76.5,562370.0,257,2404.5,123
