x,y,time,colour,velocity
698.5,-1,0,"(255,0,0)",65
872.5,-1,0,"(0,0,255)",1194
1046.5,-1,0,"(0,0,255)",1206
1220.5,-1,0,"(255,0,0)",80
1742.5,-1,0,"(0,0,255)",203
698.5,-1,1,"(255,0,0)",68
872.5,-1,1,"(0,0,255)",1202
1046.5,-1,1,"(0,0,255)",1221
1220.5,-1,1,"(255,0,0)",75
1742.5,-1,1,"(255,0,0)",180
350.5,-1,2,"(255,0,0)",158
698.5,-1,2,"(255,0,0)",42
872.5,-1,2,"(0,0,255)",1235
1046.5,-1,2,"(0,0,255)",1270
1220.5,-1,2,"(255,0,0)",81
1742.5,-1,2,"(255,0,0)",123
176.5,-1,3,"(255,0,0)",38
524.5,-1,3,"(255,0,0)",48
698.5,-1,3,"(255,0,0)",52
872.5,-1,3,"(0,0,255)",1344
1046.5,-1,3,"(0,0,255)",1341
1220.5,-1,3,"(255,0,0)",61
1394.5,-1,3,"(255,0,0)",35
1568.5,-1,3,"(255,0,0)",144
1742.5,-1,3,"(255,0,0)",190
176.5,-1,4,"(255,0,0)",90
872.5,-1,4,"(0,0,255)",1376
1046.5,-1,4,"(0,0,255)",1462
1220.5,-1,4,"(255,0,0)",55
1394.5,-1,4,"(255,0,0)",36
1568.5,-1,4,"(255,0,0)",38
176.5,-1,5,"(255,0,0)",90
524.5,-1,5,"(255,0,0)",44
698.5,-1,5,"(255,0,0)",30
872.5,-1,5,"(0,0,255)",1381
1046.5,-1,5,"(0,0,255)",1553
1220.5,-1,5,"(255,0,0)",116
1394.5,-1,5,"(255,0,0)",55
1568.5,-1,5,"(255,0,0)",181
176.5,-1,6,"(255,0,0)",46
872.5,-1,6,"(0,0,255)",1503
1046.5,-1,6,"(0,0,255)",1641
1742.5,-1,6,"(255,0,0)",162
176.5,-1,7,"(255,0,0)",88
872.5,-1,7,"(0,0,255)",1630
1046.5,-1,7,"(0,0,255)",1632
698.5,-1,8,"(255,0,0)",178
872.5,-1,8,"(0,0,255)",1736
1046.5,-1,8,"(0,0,255)",1703
1568.5,-1,8,"(255,0,0)",40
1742.5,-1,8,"(255,0,0)",129
524.5,-1,9,"(255,0,0)",81
