whitecount_line0,start_line0,end_line0,median_red_contours_touching_line0,median_green_contours_touching_line0,median_blue_contours_touching_line0,whitecount_line1,start_line1,end_line1,median_red_contours_touching_line1,median_green_contours_touching_line1,median_blue_contours_touching_line1,whitecount_line2,start_line2,end_line2,median_red_contours_touching_line2,median_green_contours_touching_line2,median_blue_contours_touching_line2,whitecount_line3,start_line3,end_line3,median_red_contours_touching_line3,median_green_contours_touching_line3,median_blue_contours_touching_line3,whitecount_line4,start_line4,end_line4,median_red_contours_touching_line4,median_green_contours_touching_line4,median_blue_contours_touching_line4,whitecount_line5,start_line5,end_line5,median_red_contours_touching_line5,median_green_contours_touching_line5,median_blue_contours_touching_line5,whitecount_line6,start_line6,end_line6,median_red_contours_touching_line6,median_green_contours_touching_line6,median_blue_contours_touching_line6,whitecount_line7,start_line7,end_line7,median_red_contours_touching_line7,median_green_contours_touching_line7,median_blue_contours_touching_line7,whitecount_line8,start_line8,end_line8,median_red_contours_touching_line8,median_green_contours_touching_line8,median_blue_contours_touching_line8,whitecount_line9,start_line9,end_line9,median_red_contours_touching_line9,median_green_contours_touching_line9,median_blue_contours_touching_line9
12,174,179,77,46,57,19,348,353,73,46,53,19,522,527,-1,-1,-1,65,696,701,91,55,63,1194,870,875,78,47,54,1206,1044,1049,71,51,97,80,1218,1223,104,34,15,22,1392,1397,79,57,61,3,1566,1571,-1,-1,-1,203,1740,1745,76,50,54
22,174,179,80,66,71,19,348,353,88,48,43,9,522,527,72,57,59,68,696,701,86,53,61,1202,870,875,101,73,91,1221,1044,1049,75,58,55,75,1218,1223,103,34,17,14,1392,1397,75,59,62,10,1566,1571,-1,-1,-1,180,1740,1745,80,53,55
2,174,179,-1,-1,-1,158,348,353,64,55,59,3,522,527,-1,-1,-1,42,696,701,83,42,36,1235,870,875,62,51,52,1270,1044,1049,68,63,65,81,1218,1223,80,45,52,10,1392,1397,-1,-1,-1,12,1566,1571,-1,-1,-1,123,1740,1745,100,50,37
38,174,179,73,62,67,6,348,353,-1,-1,-1,48,522,527,78,67,71,52,696,701,70,57,64,1344,870,875,101,50,50,1341,1044,1049,72,65,67,61,1218,1223,78,68,80,35,1392,1397,63,61,62,144,1566,1571,84,46,49,190,1740,1745,62,55,60
90,174,179,86,49,56,20,348,353,68,41,50,8,522,527,71,55,60,0,696,701,-1,-1,-1,1376,870,875,89,47,48,1462,1044,1049,61,50,54,55,1218,1223,51,55,103,36,1392,1397,84,49,52,38,1566,1571,68,61,64,6,1740,1745,-1,-1,-1
90,174,179,86,42,37,11,348,353,92,32,36,44,522,527,75,62,67,30,696,701,63,62,63,1381,870,875,105,53,59,1553,1044,1049,71,57,62,116,1218,1223,76,51,50,55,1392,1397,80,59,64,181,1566,1571,78,57,57,15,1740,1745,-1,-1,-1
46,174,179,72,59,64,13,348,353,84,57,66,3,522,527,-1,-1,-1,0,696,701,-1,-1,-1,1503,870,875,101,67,87,1641,1044,1049,77,67,71,27,1218,1223,77,52,49,0,1392,1397,-1,-1,-1,23,1566,1571,73,65,69,162,1740,1745,64,63,87
88,174,179,80,50,52,13,348,353,97,46,52,2,522,527,-1,-1,-1,6,696,701,77,72,74,1630,870,875,100,68,87,1632,1044,1049,76,68,103,3,1218,1223,71,51,51,27,1392,1397,67,56,61,9,1566,1571,60,60,60,23,1740,1745,72,51,58
17,174,179,53,53,53,28,348,353,79,65,70,16,522,527,69,47,55,178,696,701,72,56,53,1736,870,875,81,58,66,1703,1044,1049,106,70,91,11,1218,1223,60,58,59,13,1392,1397,50,45,47,40,1566,1571,99,53,54,129,1740,1745,87,59,54
18,174,179,84,51,52,12,348,353,83,31,45,81,522,527,82,56,64,54,696,701,71,55,51,1858,870,875,104,74,92,1788,1044,1049,137,88,121,0,1218,1223,-1,-1,-1,11,1392,1397,76,64,69,17,1566,1571,45,45,45,29,1740,1745,82,70,75
