id,image,label
,,
1,/data/upload/1/0fa3c43c-1.png,"[{""x"":0,""y"":0,""width"":99.86187845303867,""height"":99.72375690607731,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
2,/data/upload/1/172cb0ff-2.png,"[{""x"":0.31077348066298344,""y"":0.2762430939226519,""width"":99.34392265193371,""height"":99.44751381215468,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
3,/data/upload/1/77d9e99a-3.png,"[{""x"":0.051795580110497244,""y"":0.1841620626151013,""width"":99.9482044198895,""height"":99.8158379373849,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
4,/data/upload/1/bef02a8f-4.png,"[{""x"":0.10359116022099449,""y"":0.1841620626151013,""width"":99.896408839779,""height"":99.8158379373849,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
5,/data/upload/1/dd082855-5.png,"[{""x"":0.10359116022099449,""y"":0.09208103130755065,""width"":99.896408839779,""height"":99.90791896869244,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
6,/data/upload/1/7aaa2853-6.png,"[{""x"":0.051795580110497244,""y"":0.1841620626151013,""width"":99.9482044198895,""height"":99.8158379373849,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
7,/data/upload/1/5bf16632-7.png,"[{""x"":0.10359116022099449,""y"":0.1841620626151013,""width"":99.896408839779,""height"":99.8158379373849,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
8,/data/upload/1/8a2a7425-8.png,"[{""x"":0.21164021164021166,""y"":0.37624926513815404,""width"":99.78835978835978,""height"":99.62375073486184,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
9,/data/upload/1/bb71c1d5-9.png,"[{""x"":0,""y"":0.37624926513815404,""width"":100,""height"":99.62375073486184,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
10,/data/upload/1/a757a4b6-10.png,"[{""x"":0.10582010582010583,""y"":0,""width"":99.8941798941799,""height"":100,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
11,/data/upload/1/5aac40c4-11.png,"[{""x"":0.21164021164021166,""y"":0,""width"":99.78835978835978,""height"":100,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
12,/data/upload/1/a3934d07-12.png,"[{""x"":0.10582010582010583,""y"":0.37624926513815404,""width"":99.8941798941799,""height"":99.62375073486184,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
13,/data/upload/1/3935ec58-13.png,"[{""x"":0.10582010582010583,""y"":0.37624926513815404,""width"":99.8941798941799,""height"":99.62375073486184,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
14,/data/upload/1/6c04dbec-14.png,"[{""x"":0.10582010582010583,""y"":0,""width"":99.8941798941799,""height"":100,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
15,/data/upload/1/783bc487-15.png,"[{""x"":0.5291005291005291,""y"":0.940623162845385,""width"":99.47089947089947,""height"":99.05937683715462,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
