id,image,label
,,
100,/data/upload/1/a6ed9a90-1.png,
,,
101,/data/upload/1/3571682d-2.png,
,,
102,/data/upload/1/ee149034-3.png,
,,
103,/data/upload/1/2d349a33-4.png,
,,
104,/data/upload/1/845acd64-5.png,
,,
105,/data/upload/1/962be2c6-6.png,
,,
106,/data/upload/1/ed138cca-7.png,
,,
107,/data/upload/1/fdaa087e-8.png,
,,
108,/data/upload/1/07dc24da-9.png,
,,
109,/data/upload/1/132c978e-10.png,
,,
110,/data/upload/1/95c0eac4-11.png,
,,
111,/data/upload/1/c1af9a29-12.png,
,,
112,/data/upload/1/f96d514a-13.png,
,,
113,/data/upload/1/7c785520-14.png,"[{""x"":47.83068783068783,""y"":45.714285714285715,""width"":1.6931216931216966,""height"":1.3168724279835402,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080},{""x"":50.05291005291005,""y"":45.714285714285715,""width"":1.3756613756613731,""height"":2.6337448559670804,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080},{""x"":51.11111111111111,""y"":47.40740740740741,""width"":0.8465608465608483,""height"":4.891240446795997,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080},{""x"":50.68783068783069,""y"":51.358024691358025,""width"":0.8465608465608412,""height"":1.6931216931216966,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080},{""x"":49.31216931216931,""y"":49.66490299823633,""width"":2.010582010582013,""height"":2.257495590828924,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
