id,image,label
,,
250,/data/upload/1/e8d5cfcd-1.png,"[{""x"":41.48825966850829,""y"":37.10865561694291,""width"":16.7817679558011,""height"":26.79558011049724,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
251,/data/upload/1/07048129-2.png,"[{""x"":40.423280423280424,""y"":33.86243386243386,""width"":17.566137566137563,""height"":30.099941211052325,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
252,/data/upload/1/297f1e53-3.png,"[{""x"":40.81858407079646,""y"":35.2015732546706,""width"":17.03539823008849,""height"":29.30186823992134,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
253,/data/upload/1/4f6a0473-4.png,"[{""x"":40.707964601769916,""y"":36.38151425762045,""width"":18.030973451327426,""height"":26.74532940019666,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
254,/data/upload/1/83914647-5.png,"[{""x"":41.03982300884956,""y"":36.18485742379548,""width"":17.58849557522123,""height"":30.48180924287118,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
255,/data/upload/1/d6c2af4d-6.png,"[{""x"":40.597345132743364,""y"":35.79154375614553,""width"":18.36283185840707,""height"":31.071779744346117,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
256,/data/upload/1/d5641845-7.png,"[{""x"":38.49557522123894,""y"":34.80825958702065,""width"":22.12389380530974,""height"":33.62831858407079,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
257,/data/upload/1/91d62f06-8.png,"[{""x"":40.26548672566372,""y"":32.055063913470995,""width"":20.353982300884958,""height"":36.97148475909537,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
258,/data/upload/1/69e5da42-9.png,"[{""x"":38.05309734513274,""y"":31.66175024582104,""width"":21.902654867256636,""height"":39.72468043264503,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
259,/data/upload/1/29c1c2a8-10.png,"[{""x"":38.27433628318584,""y"":31.66175024582104,""width"":22.676991150442483,""height"":38.151425762045236,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
260,/data/upload/1/3073107a-11.png,"[{""x"":37.389380530973455,""y"":30.48180924287119,""width"":24.889380530973455,""height"":42.08456243854474,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
261,/data/upload/1/a5c42412-12.png,"[{""x"":37.057522123893804,""y"":31.071779744346117,""width"":24.77876106194691,""height"":40.51130776794494,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
262,/data/upload/1/e12d33e3-13.png,"[{""x"":34.95575221238938,""y"":29.10521140609636,""width"":31.19469026548672,""height"":46.4110127826942,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
263,/data/upload/1/5bf35280-14.png,"[{""x"":34.73451327433628,""y"":25.958702064896755,""width"":28.207964601769916,""height"":50.737463126843664,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
264,/data/upload/1/a16407b5-15.png,"[{""x"":34.84513274336283,""y"":27.728613569321535,""width"":29.977876106194678,""height"":48.18092428711897,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
265,/data/upload/1/88f0e718-16.png,"[{""x"":34.51327433628318,""y"":24.778761061946902,""width"":30.199115044247797,""height"":52.50737463126844,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
266,/data/upload/1/ed6f5bd6-17.png,"[{""x"":34.623893805309734,""y"":22.418879056047196,""width"":32.07964601769912,""height"":56.24385447394297,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
267,/data/upload/1/03ccc3d3-18.png,"[{""x"":34.070796460176986,""y"":21.828908554572273,""width"":34.181415929203546,""height"":56.44051130776794,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
268,/data/upload/1/9af45ae6-19.png,"[{""x"":32.9646017699115,""y"":19.469026548672566,""width"":34.73451327433629,""height"":56.24385447394298,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
269,/data/upload/1/a819c049-20.png,"[{""x"":31.747787610619472,""y"":17.895771878072765,""width"":36.3938053097345,""height"":59.9803343166175,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
270,/data/upload/1/d555ce01-21.png,"[{""x"":30.08849557522124,""y"":13.76597836774828,""width"":39.26991150442478,""height"":66.4700098328417,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
271,/data/upload/1/d776a4d7-22.png,"[{""x"":30.30973451327434,""y"":11.799410029498524,""width"":40.154867256637175,""height"":65.6833824975418,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
272,/data/upload/1/043d747f-23.png,"[{""x"":28.871681415929203,""y"":9.242871189773846,""width"":43.141592920353986,""height"":67.64995083579154,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
273,/data/upload/1/f4776eff-24.png,"[{""x"":30.53097345132743,""y"":7.27630285152409,""width"":42.14601769911506,""height"":73.35299901671583,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
274,/data/upload/1/765d72ea-25.png,"[{""x"":28.761061946902654,""y"":7.079646017699115,""width"":45.35398230088495,""height"":71.38643067846607,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
