id,image,label
,,
280,/data/upload/1/5be49e42-29.png,"[{""x"":0.7887817703768624,""y"":0.9640666082383873,""width"":98.89351446099911,""height"":98.33479404031551,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
281,/data/upload/1/816059f8-30.png,"[{""x"":0.33185840707964603,""y"":0.7866273352999017,""width"":99.66814159292035,""height"":99.2133726647001,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
282,/data/upload/1/b5f16afb-31.png,"[{""x"":0.7743362831858407,""y"":9.04621435594887,""width"":99.22566371681415,""height"":90.95378564405112,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
283,/data/upload/1/85c46f7b-32.png,"[{""x"":2.101769911504425,""y"":15.142576204523106,""width"":97.89823008849558,""height"":84.85742379547689,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
284,/data/upload/1/8553fc06-33.png,"[{""x"":0.995575221238938,""y"":39.52802359882006,""width"":98.34070796460178,""height"":58.4070796460177,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
285,/data/upload/1/f41208b4-34.png,"[{""x"":4.977876106194691,""y"":50.14749262536873,""width"":95.02212389380531,""height"":49.85250737463127,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
286,/data/upload/1/bdb92205-35.png,"[{""x"":32.411504424778755,""y"":69.22320550639135,""width"":67.58849557522124,""height"":30.776794493608648,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
287,/data/upload/1/f847926b-36.png,"[{""x"":45.4646017699115,""y"":70.4031465093412,""width"":54.5353982300885,""height"":29.596853490658802,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
288,/data/upload/1/a901624d-37.png,
,,
289,/data/upload/1/8f3ba083-38.png,
,,
290,/data/upload/1/ec914279-39.png,
,,
291,/data/upload/1/42fa8164-40.png,
,,
292,/data/upload/1/287f86cc-1.png,"[{""x"":19.02654867256637,""y"":27.335299901671583,""width"":38.93805309734513,""height"":66.4700098328417,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
293,/data/upload/1/ab616e48-2.png,"[{""x"":22.566371681415927,""y"":29.10521140609636,""width"":33.075221238938056,""height"":62.73352999016717,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
294,/data/upload/1/d4160a4f-3.png,"[{""x"":24.88938053097345,""y"":32.448377581120944,""width"":31.747787610619472,""height"":52.310717797443466,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
295,/data/upload/1/ded55026-4.png,"[{""x"":24.004424778761063,""y"":28.31858407079646,""width"":37.16814159292035,""height"":55.65388397246804,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
296,/data/upload/1/e12dc088-5.png,"[{""x"":22.676991150442475,""y"":25.172074729596854,""width"":36.39380530973451,""height"":64.70009832841691,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
297,/data/upload/1/157a4691-6.png,"[{""x"":21.68141592920354,""y"":25.762045231071777,""width"":38.716814159292035,""height"":66.4700098328417,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
298,/data/upload/1/8e747937-7.png,"[{""x"":17.36725663716814,""y"":21.238938053097346,""width"":42.58849557522124,""height"":78.66273352999018,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
299,/data/upload/1/535c9c56-8.png,"[{""x"":21.238938053097346,""y"":27.53195673549656,""width"":48.56194690265487,""height"":53.88397246804327,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
300,/data/upload/1/08ab3fa9-9.png,"[{""x"":23.672566371681416,""y"":32.448377581120944,""width"":52.21238938053098,""height"":49.55752212389381,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
