id,image,label
,,
400,/data/upload/1/3f3d7cee-47.png,"[{""x"":3.3185840707964607,""y"":53.09734513274337,""width"":96.68141592920354,""height"":46.90265486725663,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
401,/data/upload/1/3c0e8f7b-48.png,"[{""x"":6.084070796460177,""y"":57.227138643067846,""width"":93.91592920353982,""height"":42.772861356932154,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
402,/data/upload/1/a6cc5b77-49.png,"[{""x"":7.964601769911504,""y"":54.670599803343165,""width"":92.03539823008849,""height"":45.329400196656835,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
403,/data/upload/1/0e7de276-50.png,"[{""x"":5.9734513274336285,""y"":58.99705014749262,""width"":94.02654867256638,""height"":41.00294985250738,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
404,/data/upload/1/2241bcd8-51.png,"[{""x"":6.8584070796460175,""y"":62.34021632251721,""width"":93.14159292035399,""height"":37.65978367748279,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
405,/data/upload/1/c9821590-52.png,"[{""x"":9.845132743362832,""y"":67.64995083579154,""width"":90.15486725663717,""height"":32.35004916420846,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
406,/data/upload/1/64414f56-53.png,
,,
407,/data/upload/1/7da055e8-54.png,
,,
408,/data/upload/1/9fc7c0eb-55.png,
,,
409,/data/upload/1/1143c423-56.png,
,,
410,/data/upload/1/70ca3287-57.png,
,,
411,/data/upload/1/251c15ed-58.png,
,,
412,/data/upload/1/337cad4e-59.png,
,,
413,/data/upload/1/2587566f-1.png,"[{""x"":41.03982300884956,""y"":27.925270403146506,""width"":34.95575221238938,""height"":23.40216322517208,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
414,/data/upload/1/9394651f-2.png,"[{""x"":43.141592920353986,""y"":31.465093411996065,""width"":22.01327433628319,""height"":23.2055063913471,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
415,/data/upload/1/52557147-3.png,"[{""x"":44.690265486725664,""y"":30.875122910521142,""width"":17.809734513274336,""height"":22.02556538839724,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
416,/data/upload/1/da679e09-4.png,"[{""x"":41.482300884955755,""y"":25.762045231071777,""width"":21.792035398230084,""height"":29.105211406096362,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
417,/data/upload/1/d746dc0c-5.png,"[{""x"":41.70353982300885,""y"":30.08849557522124,""width"":21.017699115044238,""height"":24.385447394296943,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
418,/data/upload/1/d14e538e-6.png,"[{""x"":43.47345132743363,""y"":29.49852507374631,""width"":20.9070796460177,""height"":28.908554572271388,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
419,/data/upload/1/361ad717-7.png,"[{""x"":38.716814159292035,""y"":29.49852507374631,""width"":26.54867256637167,""height"":27.33529990167158,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
420,/data/upload/1/3d1c6841-8.png,"[{""x"":35.61946902654867,""y"":28.711897738446414,""width"":29.424778761061944,""height"":28.711897738446414,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
421,/data/upload/1/d4c4e66b-9.png,"[{""x"":35.176991150442475,""y"":28.31858407079646,""width"":30.75221238938053,""height"":30.67846607669616,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
422,/data/upload/1/56478ab7-10.png,"[{""x"":35.06637168141593,""y"":29.49852507374631,""width"":32.743362831858406,""height"":29.301868239921344,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
423,/data/upload/1/a0991929-11.png,"[{""x"":36.50442477876106,""y"":27.728613569321535,""width"":32.743362831858406,""height"":30.481809242871183,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
424,/data/upload/1/f2c0765c-12.png,"[{""x"":31.858407079646017,""y"":27.53195673549656,""width"":35.73008849557523,""height"":37.16814159292035,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
425,/data/upload/1/6a6c5141-13.png,"[{""x"":32.85398230088495,""y"":26.548672566371685,""width"":35.508849557522126,""height"":37.561455260570305,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
426,/data/upload/1/1568546c-14.png,"[{""x"":32.190265486725664,""y"":23.992133726647,""width"":34.40265486725663,""height"":42.4778761061947,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
427,/data/upload/1/61955266-15.png,"[{""x"":31.08407079646018,""y"":18.87905604719764,""width"":40.15486725663716,""height"":49.557522123893804,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
