id,image,label
,,
459,/data/upload/1/3137dd76-18.png,"[{""x"":1.3274336283185841,""y"":1.376597836774828,""width"":98.67256637168141,""height"":98.62340216322517,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
460,/data/upload/1/24a159e2-19.png,"[{""x"":0.22123893805309736,""y"":2.1632251720747298,""width"":99.77876106194691,""height"":97.83677482792527,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
461,/data/upload/1/1903287f-20.png,"[{""x"":2.5442477876106198,""y"":1.966568338249754,""width"":97.45575221238938,""height"":98.03343166175024,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
462,/data/upload/1/8354c788-21.png,"[{""x"":0.33185840707964603,""y"":0.5899705014749262,""width"":99.66814159292035,""height"":99.41002949852508,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
463,/data/upload/1/0f82c427-22.png,"[{""x"":0.5530973451327433,""y"":1.5732546705998034,""width"":92.80973451327434,""height"":93.41199606686331,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
464,/data/upload/1/d6ba3595-23.png,"[{""x"":0.33185840707964603,""y"":0.7866273352999017,""width"":99.66814159292035,""height"":99.2133726647001,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
465,/data/upload/1/79e14431-24.png,"[{""x"":0.5530973451327433,""y"":0.39331366764995085,""width"":99.44690265486726,""height"":99.60668633235005,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
466,/data/upload/1/cf6d83a7-25.png,"[{""x"":0.33185840707964603,""y"":0.39331366764995085,""width"":99.66814159292035,""height"":99.60668633235005,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
467,/data/upload/1/2208aeff-26.png,"[{""x"":0.33185840707964603,""y"":0,""width"":99.66814159292035,""height"":100,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
468,/data/upload/1/2b909478-27.png,"[{""x"":0.33185840707964587,""y"":1.966568338249754,""width"":99.66814159292035,""height"":96.16519174041296,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
469,/data/upload/1/6920d457-28.png,"[{""x"":0.22123893805309736,""y"":0.7866273352999017,""width"":99.77876106194691,""height"":99.2133726647001,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
470,/data/upload/1/845dbd41-29.png,"[{""x"":0.4424778761061947,""y"":0.7866273352999017,""width"":99.5575221238938,""height"":99.2133726647001,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
471,/data/upload/1/62909c32-30.png,"[{""x"":1.4380530973451326,""y"":1.1799410029498525,""width"":98.56194690265487,""height"":98.82005899705015,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
472,/data/upload/1/5777281b-1.png,"[{""x"":0.5530973451327433,""y"":0.983284169124877,""width"":99.44690265486726,""height"":99.01671583087513,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
473,/data/upload/1/8a925d60-2.png,"[{""x"":1.2168141592920354,""y"":1.376597836774828,""width"":98.78318584070796,""height"":98.62340216322517,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
474,/data/upload/1/ec9a1a6b-3.png,"[{""x"":0.7743362831858407,""y"":0.7866273352999017,""width"":99.22566371681415,""height"":99.2133726647001,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
475,/data/upload/1/27555fdd-4.png,"[{""x"":0.8849557522123894,""y"":1.1799410029498525,""width"":99.11504424778761,""height"":98.82005899705015,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
476,/data/upload/1/3fe9838d-5.png,"[{""x"":0.4424778761061947,""y"":0,""width"":99.5575221238938,""height"":100,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
477,/data/upload/1/223c5b60-6.png,"[{""x"":0.8849557522123894,""y"":1.1799410029498525,""width"":99.11504424778761,""height"":98.82005899705015,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
478,/data/upload/1/582a57ec-7.png,"[{""x"":0.5530973451327433,""y"":0.983284169124877,""width"":99.44690265486726,""height"":99.01671583087513,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
479,/data/upload/1/710a3e48-8.png,"[{""x"":0.4424778761061947,""y"":0.39331366764995085,""width"":99.5575221238938,""height"":99.60668633235005,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
480,/data/upload/1/22f0ba75-9.png,"[{""x"":0.33185840707964603,""y"":0.7866273352999017,""width"":99.66814159292035,""height"":99.2133726647001,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
481,/data/upload/1/d32183a3-10.png,"[{""x"":0.5530973451327433,""y"":1.1799410029498525,""width"":99.44690265486726,""height"":98.82005899705015,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
482,/data/upload/1/156b611c-11.png,"[{""x"":0.33185840707964603,""y"":0.19665683382497542,""width"":99.66814159292035,""height"":99.80334316617503,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
483,/data/upload/1/f2fcfe93-12.png,"[{""x"":0.5530973451327433,""y"":1.1799410029498525,""width"":99.44690265486726,""height"":98.82005899705015,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
484,/data/upload/1/2e436a16-13.png,"[{""x"":0.4424778761061947,""y"":1.1799410029498525,""width"":99.5575221238938,""height"":98.82005899705015,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
485,/data/upload/1/b2aa4e8a-14.png,"[{""x"":0.5530973451327433,""y"":0.39331366764995085,""width"":99.44690265486726,""height"":99.60668633235005,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
486,/data/upload/1/eba5d510-15.png,"[{""x"":0.6637168141592921,""y"":0.7866273352999017,""width"":99.33628318584071,""height"":99.2133726647001,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
487,/data/upload/1/e2faf91b-16.png,"[{""x"":0.4424778761061947,""y"":1.376597836774828,""width"":99.5575221238938,""height"":98.62340216322517,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
,,
488,/data/upload/1/2691cd11-17.png,"[{""x"":0.5530973451327433,""y"":0.5899705014749262,""width"":99.44690265486726,""height"":99.41002949852508,""rotation"":0,""rectanglelabels"":[""OtherCelestialBody""],""original_width"":1920,""original_height"":1080}]"
