Video Name,Start Time,End Time,Flight Speed,Stars,Galaxies,Nebulae
A_Flight_Into_the_Dark_Pillars_of_Carina.mp4,0,29,Slow,True,False,True
A_Flight_Through_the_CANDELS_Ultra_Deep_Survey_Field.mp4,7,75,Medium,False,True,False
A_Flight_to_HCG_40.mp4,12,71,Mixed,True,True,False
Cosmic_eXploration_Hubble_eXtreme_Deep_Field.mp4,7,36,Medium,False,True,False
Cosmic_Reef_Visualization.mp4,0,60,Medium,True,False,True
Flight_to_AG_Carinae.mp4,0,30,Slow,True,False,True
Flight_to_Star_Cluster_Westerlund_2.mp4,0,40,Medium,True,False,True
Flyby_of_the_Whirlpool_Galaxy.mp4,7,65,Medium,False,True,False
Lagoon_Nebula_(3D_Pans).mp4,0,30,Slow,True,False,True
The_Bubble_Nebula_Winds_and_Radiation_from_a_Massive_Star.mp4,8,38,Fast,True,False,True
